y,treatment,W1,W2,instruments
11,NA,16.79377395,1.692,141.7775182
12,8.21E-10,16.44184561,1.692,209.6681115
9,8.14E-10,16.19891195,1.692,257.8991573
9,8.23E-10,16.45821444,1.692,111.6997375
6,7.33E-10,16.9557126,1.692,48.87546464
10,7.47E-10,16.58221746,1.692,143.1969746
3,8.21E-10,16.34648757,1.692,163.7912159
12,9.16E-10,16.70499413,1.692,137.6943175
11,9.32E-10,16.64328107,1.692,160.3130198
14,1.09E-09,17.18217099,1.692,169.5973312
15,1.27E-09,16.84678607,1.692,230.2858681
21,1.03E-09,16.78339825,1.692,257.9803292
17,8.71E-10,16.66039664,1.692,277.992186
15,1.03E-09,17.08864752,1.692,135.4833275
11,1.07E-09,17.1806262,1.692,116.2367389
11,8.42E-10,17.47271181,1.692,73.14769969
12,8.27E-10,17.2275847,1.692,229.85884
12,7.56E-10,16.53303456,1.692,206.3147923
20,6.50E-10,16.85124384,1.692,196.468481
18,7.03E-10,17.12161006,1.692,73.97837986
12,7.04E-10,16.65764513,1.692,85.96189794
16,7.09E-10,17.31721654,1.692,60.87458303
13,6.91E-10,16.82756768,1.692,140.2919384
13,6.88E-10,16.6133692,1.692,72.02865438
13,6.90E-10,16.57087494,1.692,108.6722084
21,6.35E-10,16.69914033,1.692,68.28706206
15,6.25E-10,16.85258618,1.692,49.38719355
18,6.47E-10,17.77407112,1.692,33.62302912
14,6.14E-10,17.57120877,1.692,48.47030628
10,6.60E-10,17.91703403,1.692,59.16606178
15,7.47E-10,17.41300026,1.692,61.95592337
13,7.52E-10,17.40845149,1.692,62.87749256
14,7.28E-10,16.99663408,1.692,119.373841
18,7.26E-10,17.5389875,1.692,79.41954163
11,7.05E-10,17.91554112,1.692,68.57078139
18,7.17E-10,17.70417734,1.692,60.92766873
9,7.28E-10,16.95918535,1.692,164.3244759
8,7.61E-10,17.68672892,1.692,72.13827696
12,9.08E-10,17.84956695,1.692,89.98110373
12,8.90E-10,17.48781571,1.692,98.45813402
9,7.26E-10,16.42681734,1.692,210.0430006
13,6.63E-10,16.62952117,1.692,275.7531425
11,7.13E-10,16.4243359,1.692,284.9541562
10,6.87E-10,15.87139728,1.692,249.1197393
15,6.97E-10,16.56210386,1.692,227.0371773
17,7.71E-10,17.16999256,1.692,175.3069441
9,7.81E-10,17.16094909,1.692,129.8358545
26,7.96E-10,17.3872364,1.692,93.12040178
17,7.45E-10,17.19139859,1.692,87.47158239
23,7.54E-10,16.73101523,1.692,115.2746873
20,8.10E-10,16.59540894,1.692,252.7649358
7,7.78E-10,16.67767197,1.692,43.28773673
18,7.76E-10,16.71563794,1.692,6.222614919
26,8.32E-10,17.24507234,1.692,9.570070677
18,9.17E-10,18.07592472,1.692,46.6134423
13,1.02E-09,17.2655298,1.692,208.8574163
22,1.11E-09,18.84095355,1.692,41.31514244
20,1.14E-09,18.04303505,1.692,67.28110495
17,1.39E-09,18.84406803,1.692,49.1336339
21,1.54E-09,17.79755865,1.692,116.5865357
